1000mA,,1500mA,,2000mA,,,1A,41min 10s,,1000mA,,,1500mA,,,2000mA,,,,
In,Out,In,Out,In,Out,,1.5A,17min 26s,,In,Out,Diff,In,Out,,In,Out,,,
32.44,30.63,49.89,46.82,,,,,,,33.98,32.17,1.81,49.57,46.5,3.07,,,,2.18,
32.49,30.66,49.96,46.93,,,,,,,34.03,32.2,1.83,49.64,46.61,3.03,,,,2.14,
32.5,30.73,50.02,47.07,,,,,,,34.04,32.27,1.77,49.7,46.75,2.95,,,,2.06,
32.51,30.82,50.03,47.1,,,,,,,34.05,32.36,1.69,49.71,46.78,2.93,,,,2.04,
32.51,30.84,50.09,47.21,,,,,,,34.05,32.38,1.67,49.77,46.89,2.88,,,,1.99,
32.54,30.92,50.14,47.22,,,,,,,34.08,32.46,1.62,49.82,46.9,2.92,,,,2.03,
32.59,30.96,50.15,47.22,,,,,,,34.13,32.5,1.63,49.83,46.9,2.93,,,,2.04,
32.6,31.01,50.23,47.33,,,,,,,34.14,32.55,1.59,49.91,47.01,2.9,,,,2.01,
32.6,30.96,50.28,47.34,,,,,,,34.14,32.5,1.64,49.96,47.02,2.94,,,,2.05,
32.62,30.88,50.29,47.32,,,,,,,34.16,32.42,1.74,49.97,47,2.97,,,,2.08,
32.64,30.83,50.34,47.17,,,,,,,34.18,32.37,1.81,50.02,46.85,3.17,,,,2.28,
32.68,30.92,50.41,47.09,,,,,,,34.22,32.46,1.76,50.09,46.77,3.32,,,,2.43,
32.7,30.92,50.42,47.07,,,,,,,34.24,32.46,1.78,50.1,46.75,3.35,,,,2.46,
32.7,30.92,50.44,47.08,,,,,,,34.24,32.46,1.78,50.12,46.76,3.36,,,,2.47,
32.71,31.01,50.54,47.1,,,,,,,34.25,32.55,1.7,50.22,46.78,3.44,,,,2.55,
32.73,31.01,50.56,47.26,,,,,,,34.27,32.55,1.72,50.24,46.94,3.3,,,,2.41,
32.78,31.01,50.58,47.44,,,,,,,34.32,32.55,1.77,50.26,47.12,3.14,,,,2.25,
32.79,31.1,50.63,47.46,,,,,,,34.33,32.64,1.69,50.31,47.14,3.17,,,,2.28,
32.8,31.11,50.69,47.59,,,,,,,34.34,32.65,1.69,50.37,47.27,3.1,,,,2.21,
32.8,31.11,50.69,47.58,,,,,,,34.34,32.65,1.69,50.37,47.26,3.11,,,,2.22,
32.84,31.09,50.76,47.47,,,,,,,34.38,32.63,1.75,50.44,47.15,3.29,,,,2.4,
32.88,31.11,50.81,47.59,,,,,,,34.42,32.65,1.77,50.49,47.27,3.22,,,,2.33,
32.88,31.11,50.82,47.72,,,,,,,34.42,32.65,1.77,50.5,47.4,3.1,,,,2.21,
32.89,31.17,50.83,47.64,,,,,,,34.43,32.71,1.72,50.51,47.32,3.19,,,,2.3,
32.91,31.27,50.91,47.72,,,,,,,34.45,32.81,1.64,50.59,47.4,3.19,,,,2.3,
32.93,31.3,50.96,47.72,,,,,,,34.47,32.84,1.63,50.64,47.4,3.24,,,,2.35,
32.97,31.38,50.96,47.64,,,,,,,34.51,32.92,1.59,50.64,47.32,3.32,,,,2.43,
32.98,31.39,51.01,47.61,,,,,,,34.52,32.93,1.59,50.69,47.29,3.4,,,,2.51,
32.98,31.39,51.09,47.64,,,,,,,34.52,32.93,1.59,50.77,47.32,3.45,,,,2.56,
33,31.39,51.1,47.47,,,,,,,34.54,32.93,1.61,50.78,47.15,3.63,,,,2.74,
33.04,31.36,51.14,47.41,,,,,,,34.58,32.9,1.68,50.82,47.09,3.73,,,,2.84,
33.06,31.39,51.22,47.34,,,,,,,34.6,32.93,1.67,50.9,47.02,3.88,,,,2.99,
33.08,31.44,51.24,47.3,,,,,,,34.62,32.98,1.64,50.92,46.98,3.94,,,,3.05,
33.08,31.49,51.24,47.13,,,,,,,34.62,33.03,1.59,50.92,46.81,4.11,,,,3.22,
33.09,31.49,51.3,47.21,,,,,,,34.63,33.03,1.6,50.98,46.89,4.09,,,,3.2,
33.13,31.52,51.36,47.43,,,,,,,34.67,33.06,1.61,51.04,47.11,3.93,,,,3.04,
33.17,31.55,51.37,47.57,,,,,,,34.71,33.09,1.62,51.05,47.25,3.8,,,,2.91,
33.18,31.57,51.39,47.59,,,,,,,34.72,33.11,1.61,51.07,47.27,3.8,,,,2.91,
33.18,31.5,51.47,47.72,,,,,,,34.72,33.04,1.68,51.15,47.4,3.75,,,,2.86,
33.2,31.49,51.51,47.85,,,,,,,34.74,33.03,1.71,51.19,47.53,3.66,,,,2.77,
33.24,31.51,51.51,47.85,,,,,,,34.78,33.05,1.73,51.19,47.53,3.66,,,,2.77,
33.27,31.49,51.57,47.72,,,,,,,34.81,33.03,1.78,51.25,47.4,3.85,,,,2.96,
33.27,31.51,51.64,47.72,,,,,,,34.81,33.05,1.76,51.32,47.4,3.92,,,,3.03,
33.28,31.58,51.65,47.72,,,,,,,34.82,33.12,1.7,51.33,47.4,3.93,,,,3.04,
33.31,31.53,51.65,47.72,,,,,,,34.85,33.07,1.78,51.33,47.4,3.93,,,,3.04,
33.36,31.49,51.71,47.76,,,,,,,34.9,33.03,1.87,51.39,47.44,3.95,,,,3.06,
33.37,31.52,51.78,47.97,,,,,,,34.91,33.06,1.85,51.46,47.65,3.81,,,,2.92,
33.37,31.58,51.78,47.94,,,,,,,34.91,33.12,1.79,51.46,47.62,3.84,,,,2.95,
33.38,31.66,51.82,47.83,,,,,,,34.92,33.2,1.72,51.5,47.51,3.99,,,,3.1,
33.42,31.68,51.89,47.82,,,,,,,34.96,33.22,1.74,51.57,47.5,4.07,,,,3.18,
33.45,31.76,51.92,47.89,,,,,,,34.99,33.3,1.69,51.6,47.57,4.03,,,,3.14,
33.46,31.68,51.92,48.1,,,,,,,35,33.22,1.78,51.6,47.78,3.82,,,,2.93,
33.47,31.72,51.98,48.1,,,,,,,35.01,33.26,1.75,51.66,47.78,3.88,,,,2.99,
33.48,31.69,52.05,48.11,,,,,,,35.02,33.23,1.79,51.73,47.79,3.94,,,,3.05,
33.52,31.77,52.06,48.11,,,,,,,35.06,33.31,1.75,51.74,47.79,3.95,,,,3.06,
33.55,31.78,52.07,47.98,,,,,,,35.09,33.32,1.77,51.75,47.66,4.09,,,,3.2,
33.56,31.71,52.16,47.99,,,,,,,35.1,33.25,1.85,51.84,47.67,4.17,,,,3.28,
33.56,31.7,52.2,48.22,,,,,,,35.1,33.24,1.86,51.88,47.9,3.98,,,,3.09,
33.59,31.67,52.21,48.45,,,,,,,35.13,33.21,1.92,51.89,48.13,3.76,,,,2.87,
33.62,31.59,52.24,48.7,,,,,,,35.16,33.13,2.03,51.92,48.38,3.54,,,,2.65,
33.65,31.62,52.31,48.83,,,,,,,35.19,33.16,2.03,51.99,48.51,3.48,,,,2.59,
33.66,31.7,52.34,48.81,,,,,,,35.2,33.24,1.96,52.02,48.49,3.53,,,,2.64,
33.67,31.78,52.34,48.58,,,,,,,35.21,33.32,1.89,52.02,48.26,3.76,,,,2.87,
33.68,31.87,52.41,48.45,,,,,,,35.22,33.41,1.81,52.09,48.13,3.96,,,,3.07,
33.72,31.87,52.48,48.5,,,,,,,35.26,33.41,1.85,52.16,48.18,3.98,,,,3.09,
33.75,31.89,52.49,48.69,,,,,,,35.29,33.43,1.86,52.17,48.37,3.8,,,,2.91,
33.75,31.97,52.51,48.76,,,,,,,35.29,33.51,1.78,52.19,48.44,3.75,,,,2.86,
33.75,31.97,52.58,48.63,,,,,,,35.29,33.51,1.78,52.26,48.31,3.95,,,,3.06,
33.78,31.99,52.63,48.63,,,,,,,35.32,33.53,1.79,52.31,48.31,4,,,,3.11,
33.8,32.04,52.64,48.63,,,,,,,35.34,33.58,1.76,52.32,48.31,4.01,,,,3.12,
33.84,32.06,52.7,48.63,,,,,,,35.38,33.6,1.78,52.38,48.31,4.07,,,,3.18,
33.85,32.07,52.76,48.76,,,,,,,35.39,33.61,1.78,52.44,48.44,4,,,,3.11,
33.85,32.08,52.77,48.77,,,,,,,35.39,33.62,1.77,52.45,48.45,4,,,,3.11,
33.88,32.07,52.8,48.89,,,,,,,35.42,33.61,1.81,52.48,48.57,3.91,,,,3.02,
33.91,32.11,52.88,48.81,,,,,,,35.45,33.65,1.8,52.56,48.49,4.07,,,,3.18,
33.94,32.16,52.91,48.88,,,,,,,35.48,33.7,1.78,52.59,48.56,4.03,,,,3.14,
33.95,32.18,52.92,49,,,,,,,35.49,33.72,1.77,52.6,48.68,3.92,,,,3.03,
33.95,32.26,52.97,49.03,,,,,,,35.49,33.8,1.69,52.65,48.71,3.94,,,,3.05,
33.95,32.17,53.03,49.03,,,,,,,35.49,33.71,1.78,52.71,48.71,4,,,,3.11,
34,32.08,53.06,48.91,,,,,,,35.54,33.62,1.92,52.74,48.59,4.15,,,,3.26,
34.03,32.07,53.06,48.89,,,,,,,35.57,33.61,1.96,52.74,48.57,4.17,,,,3.28,
34.04,32.07,53.15,49.04,,,,,,,35.58,33.61,1.97,52.83,48.72,4.11,,,,3.22,
34.04,32.09,53.2,49.13,,,,,,,35.58,33.63,1.95,52.88,48.81,4.07,,,,3.18,
34.06,32.16,53.2,49.03,,,,,,,35.6,33.7,1.9,52.88,48.71,4.17,,,,3.28,
34.1,32.2,53.24,49.03,,,,,,,35.64,33.74,1.9,52.92,48.71,4.21,,,,3.32,
34.13,32.26,53.31,49.14,,,,,,,35.67,33.8,1.87,52.99,48.82,4.17,,,,3.28,
34.14,32.33,53.34,49.08,,,,,,,35.68,33.87,1.81,53.02,48.76,4.26,,,,3.37,
34.14,32.25,53.35,49.29,,,,,,,35.68,33.79,1.89,53.03,48.97,4.06,,,,3.17,
34.15,32.19,53.43,49.33,,,,,,,35.69,33.73,1.96,53.11,49.01,4.1,,,,3.21,
34.19,32.26,53.49,49.47,,,,,,,35.73,33.8,1.93,53.17,49.15,4.02,,,,3.13,
34.22,32.26,53.49,49.56,,,,,,,35.76,33.8,1.96,53.17,49.24,3.93,,,,3.04,
34.24,32.26,53.52,49.56,,,,,,,35.78,33.8,1.98,53.2,49.24,3.96,,,,3.07,
34.24,32.35,53.6,49.49,,,,,,,35.78,33.89,1.89,53.28,49.17,4.11,,,,3.22,
34.24,32.4,53.63,49.31,,,,,,,35.78,33.94,1.84,53.31,48.99,4.32,,,,3.43,
34.26,32.45,53.64,49.27,,,,,,,35.8,33.99,1.81,53.32,48.95,4.37,,,,3.48,
34.29,32.45,53.69,49.29,,,,,,,35.83,33.99,1.84,53.37,48.97,4.4,,,,3.51,
34.32,32.45,53.75,49.42,,,,,,,35.86,33.99,1.87,53.43,49.1,4.33,,,,3.44,
34.33,32.45,53.78,49.47,,,,,,,35.87,33.99,1.88,53.46,49.15,4.31,,,,3.42,
34.33,32.45,53.78,49.73,,,,,,,35.87,33.99,1.88,53.46,49.41,4.05,,,,3.16,
34.34,32.54,53.86,49.95,,,,,,,35.88,34.08,1.8,53.54,49.63,3.91,,,,3.02,
34.36,32.61,53.91,49.96,,,,,,,35.9,34.15,1.75,53.59,49.64,3.95,,,,3.06,
34.4,32.64,53.93,49.89,,,,,,,35.94,34.18,1.76,53.61,49.57,4.04,,,,3.15,
34.43,32.65,53.96,50.08,,,,,,,35.97,34.19,1.78,53.64,49.76,3.88,,,,2.99,
34.43,32.71,54.02,50.13,,,,,,,35.97,34.25,1.72,53.7,49.81,3.89,,,,3,
34.43,32.74,54.07,50.1,,,,,,,35.97,34.28,1.69,53.75,49.78,3.97,,,,3.08,
34.44,32.74,54.08,50.24,,,,,,,35.98,34.28,1.7,53.76,49.92,3.84,,,,2.95,
34.47,32.77,54.12,50.38,,,,,,,36.01,34.31,1.7,53.8,50.06,3.74,,,,2.85,
34.51,32.79,54.2,50.51,,,,,,,36.05,34.33,1.72,53.88,50.19,3.69,,,,2.8,
34.52,32.74,54.22,50.63,,,,,,,36.06,34.28,1.78,53.9,50.31,3.59,,,,2.7,
34.53,32.74,54.22,50.51,,,,,,,36.07,34.28,1.79,53.9,50.19,3.71,,,,2.82,
34.53,32.76,54.26,50.51,,,,,,,36.07,34.3,1.77,53.94,50.19,3.75,,,,2.86,
34.55,32.8,54.36,50.44,,,,,,,36.09,34.34,1.75,54.04,50.12,3.92,,,,3.03,
34.57,32.84,54.37,50.51,,,,,,,36.11,34.38,1.73,54.05,50.19,3.86,,,,2.97,
34.62,32.84,54.38,50.51,,,,,,,36.16,34.38,1.78,54.06,50.19,3.87,,,,2.98,
34.63,32.84,54.45,50.6,,,,,,,36.17,34.38,1.79,54.13,50.28,3.85,,,,2.96,
34.63,32.84,54.5,50.65,,,,,,,36.17,34.38,1.79,54.18,50.33,3.85,,,,2.96,
34.65,32.84,54.52,50.78,,,,,,,36.19,34.38,1.81,54.2,50.46,3.74,,,,2.85,
34.67,32.84,54.53,50.85,,,,,,,36.21,34.38,1.83,54.21,50.53,3.68,,,,2.79,
34.71,32.84,54.63,50.92,,,,,,,36.25,34.38,1.87,54.31,50.6,3.71,,,,2.82,
34.73,32.87,54.66,50.85,,,,,,,36.27,34.41,1.86,54.34,50.53,3.81,,,,2.92,
34.73,32.9,54.67,50.74,,,,,,,36.27,34.44,1.83,54.35,50.42,3.93,,,,3.04,
34.74,32.89,54.69,50.52,,,,,,,36.28,34.43,1.85,54.37,50.2,4.17,,,,3.28,
34.78,32.89,54.77,50.57,,,,,,,36.32,34.43,1.89,54.45,50.25,4.2,,,,3.31,
34.81,32.75,54.82,50.65,,,,,,,36.35,34.29,2.06,54.5,50.33,4.17,,,,3.28,
34.82,32.78,54.82,50.65,,,,,,,36.36,34.32,2.04,54.5,50.33,4.17,,,,3.28,
34.83,32.84,54.85,50.55,,,,,,,36.37,34.38,1.99,54.53,50.23,4.3,,,,3.41,
34.84,32.94,54.94,50.51,,,,,,,36.38,34.48,1.9,54.62,50.19,4.43,,,,3.54,
34.87,32.96,54.96,50.51,,,,,,,36.41,34.5,1.91,54.64,50.19,4.45,,,,3.56,
34.9,33.03,54.97,50.51,,,,,,,36.44,34.57,1.87,54.65,50.19,4.46,,,,3.57,
34.92,33.03,55.02,50.51,,,,,,,36.46,34.57,1.89,54.7,50.19,4.51,,,,3.62,
34.92,33.04,55.08,50.51,,,,,,,36.46,34.58,1.88,54.76,50.19,4.57,,,,3.68,
34.93,33.12,55.12,50.51,,,,,,,36.47,34.66,1.81,54.8,50.19,4.61,,,,3.72,
34.96,33.05,55.12,50.57,,,,,,,36.5,34.59,1.91,54.8,50.25,4.55,,,,3.66,
35,33.04,55.17,50.65,,,,,,,36.54,34.58,1.96,54.85,50.33,4.52,,,,3.63,
35.02,33.08,55.23,50.75,,,,,,,36.56,34.62,1.94,54.91,50.43,4.48,,,,3.59,
35.02,33.05,55.27,50.82,,,,,,,36.56,34.59,1.97,54.95,50.5,4.45,,,,3.56,
35.03,33.04,55.27,50.95,,,,,,,36.57,34.58,1.99,54.95,50.63,4.32,,,,3.43,
35.06,33.08,55.31,50.92,,,,,,,36.6,34.62,1.98,54.99,50.6,4.39,,,,3.5,
35.1,33.13,55.38,51.06,,,,,,,36.64,34.67,1.97,55.06,50.74,4.32,,,,3.43,
35.12,33.13,55.41,51.2,,,,,,,36.66,34.67,1.99,55.09,50.88,4.21,,,,3.32,
35.12,33.13,55.43,51.07,,,,,,,36.66,34.67,1.99,55.11,50.75,4.36,,,,3.47,
35.12,33.09,55.44,51.09,,,,,,,36.66,34.63,2.03,55.12,50.77,4.35,,,,3.46,
35.15,33.13,55.54,51.2,,,,,,,36.69,34.67,2.02,55.22,50.88,4.34,,,,3.45,
35.2,33.2,55.57,51.18,,,,,,,36.74,34.74,2,55.25,50.86,4.39,,,,3.5,
35.22,33.2,55.57,50.52,,,,,,,36.76,34.74,2.02,55.25,50.2,5.05,,,,4.16,
35.22,33.19,55.6,49.83,,,,,,,36.76,34.73,2.03,55.28,49.51,5.77,,,,4.88,
35.22,33.21,55.67,49.28,,,,,,,36.76,34.75,2.01,55.35,48.96,6.39,,,,5.5,
35.25,33.15,55.72,49.04,,,,,,,36.79,34.69,2.1,55.4,48.72,6.68,,,,5.79,
35.28,33.16,55.73,49.42,,,,,,,36.82,34.7,2.12,55.41,49.1,6.31,,,,5.42,
35.29,33.14,55.74,49.87,,,,,,,36.83,34.68,2.15,55.42,49.55,5.87,,,,4.98,
35.32,33.18,55.81,50.21,,,,,,,36.86,34.72,2.14,55.49,49.89,5.6,,,,4.71,
35.31,33.23,55.86,50.42,,,,,,,36.85,34.77,2.08,55.54,50.1,5.44,,,,4.55,
35.32,33.33,55.87,50.64,,,,,,,36.86,34.87,1.99,55.55,50.32,5.23,,,,4.34,
35.34,33.33,55.88,50.67,,,,,,,36.88,34.87,2.01,55.56,50.35,5.21,,,,4.32,
35.38,33.32,55.9,50.83,,,,,,,36.92,34.86,2.06,55.58,50.51,5.07,,,,4.18,
35.4,33.23,55.95,50.88,,,,,,,36.94,34.77,2.17,55.63,50.56,5.07,,,,4.18,
35.41,33.23,56.02,51.02,,,,,,,36.95,34.77,2.18,55.7,50.7,5,,,,4.11,
35.42,33.23,56.03,51.19,,,,,,,36.96,34.77,2.19,55.71,50.87,4.84,,,,3.95,
35.42,33.24,56.03,51.19,,,,,,,36.96,34.78,2.18,55.71,50.87,4.84,,,,3.95,
35.45,33.32,56.06,51.34,,,,,,,36.99,34.86,2.13,55.74,51.02,4.72,,,,3.83,
35.48,33.37,56.11,51.34,,,,,,,37.02,34.91,2.11,55.79,51.02,4.77,,,,3.88,
35.51,33.5,56.19,51.35,,,,,,,37.05,35.04,2.01,55.87,51.03,4.84,,,,3.95,
35.51,33.52,56.19,51.4,,,,,,,37.05,35.06,1.99,55.87,51.08,4.79,,,,3.9,
35.51,33.44,56.2,51.34,,,,,,,37.05,34.98,2.07,55.88,51.02,4.86,,,,3.97,
35.53,33.43,56.23,51.3,,,,,,,37.07,34.97,2.1,55.91,50.98,4.93,,,,4.04,
35.53,33.43,56.32,51.2,,,,,,,37.07,34.97,2.1,56,50.88,5.12,,,,4.23,
35.57,33.49,56.34,51.33,,,,,,,37.11,35.03,2.08,56.02,51.01,5.01,,,,4.12,
35.61,33.43,56.35,51.36,,,,,,,37.15,34.97,2.18,56.03,51.04,4.99,,,,4.1,
35.61,33.34,56.37,51.53,,,,,,,37.15,34.88,2.27,56.05,51.21,4.84,,,,3.95,
35.61,33.33,56.43,51.73,,,,,,,37.15,34.87,2.28,56.11,51.41,4.7,,,,3.81,
35.63,33.43,56.49,51.77,,,,,,,37.17,34.97,2.2,56.17,51.45,4.72,,,,3.83,
35.64,33.43,56.51,51.18,,,,,,,37.18,34.97,2.21,56.19,50.86,5.33,,,,4.44,
35.67,33.44,56.56,51.06,,,,,,,37.21,34.98,2.23,56.24,50.74,5.5,,,,4.61,
35.71,33.5,56.6,50.81,,,,,,,37.25,35.04,2.21,56.28,50.49,5.79,,,,4.9,
35.71,33.52,56.64,50.72,,,,,,,37.25,35.06,2.19,56.32,50.4,5.92,,,,5.03,
35.71,33.55,56.66,50.98,,,,,,,37.25,35.09,2.16,56.34,50.66,5.68,,,,4.79,
35.72,33.53,56.68,51.2,,,,,,,37.26,35.07,2.19,56.36,50.88,5.48,,,,4.59,
35.76,33.49,56.75,51.37,,,,,,,37.3,35.03,2.27,56.43,51.05,5.38,,,,4.49,
35.77,33.28,56.81,51.66,,,,,,,37.31,34.82,2.49,56.49,51.34,5.15,,,,4.26,
35.81,33.2,56.84,51.76,,,,,,,37.35,34.74,2.61,56.52,51.44,5.08,,,,4.19,
35.81,33.13,56.89,51.87,,,,,,,37.35,34.67,2.68,56.57,51.55,5.02,,,,4.13,
35.81,33.15,56.95,52.02,,,,,,,37.35,34.69,2.66,56.63,51.7,4.93,,,,4.04,
35.82,33.23,56.98,52.14,,,,,,,37.36,34.77,2.59,56.66,51.82,4.84,,,,3.95,
35.84,33.32,57.02,52.15,,,,,,,37.38,34.86,2.52,56.7,51.83,4.87,,,,3.98,
35.87,33.33,57.07,52.2,,,,,,,37.41,34.87,2.54,56.75,51.88,4.87,,,,3.98,
35.9,33.42,57.1,52.44,,,,,,,37.44,34.96,2.48,56.78,52.12,4.66,,,,3.77,
35.91,33.51,57.15,52.55,,,,,,,37.45,35.05,2.4,56.83,52.23,4.6,,,,3.71,
35.91,33.62,57.18,52.56,,,,,,,37.45,35.16,2.29,56.86,52.24,4.62,,,,3.73,
35.91,33.72,57.19,52.36,,,,,,,37.45,35.26,2.19,56.87,52.04,4.83,,,,3.94,
35.94,33.82,57.25,52.4,,,,,,,37.48,35.36,2.12,56.93,52.08,4.85,,,,3.96,
35.98,33.77,57.29,52.52,,,,,,,37.52,35.31,2.21,56.97,52.2,4.77,,,,3.88,
36.01,33.81,57.3,52.37,,,,,,,37.55,35.35,2.2,56.98,52.05,4.93,,,,4.04,
36.01,33.82,57.34,52.46,,,,,,,37.55,35.36,2.19,57.02,52.14,4.88,,,,3.99,
36.01,33.82,57.41,52.47,,,,,,,37.55,35.36,2.19,57.09,52.15,4.94,,,,4.05,
36.02,33.82,57.45,52.43,,,,,,,37.56,35.36,2.2,57.13,52.11,5.02,,,,4.13,
36.06,33.82,57.46,52.33,,,,,,,37.6,35.36,2.24,57.14,52.01,5.13,,,,4.24,
36.09,33.82,57.47,52.34,,,,,,,37.63,35.36,2.27,57.15,52.02,5.13,,,,4.24,
36.11,33.87,57.53,52.34,,,,,,,37.65,35.41,2.24,57.21,52.02,5.19,,,,4.3,
36.11,33.98,57.6,52.09,,,,,,,37.65,35.52,2.13,57.28,51.77,5.51,,,,4.62,
36.11,34.02,57.61,52.2,,,,,,,37.65,35.56,2.09,57.29,51.88,5.41,,,,4.52,
36.12,34.02,57.62,52.47,,,,,,,37.66,35.56,2.1,57.3,52.15,5.15,,,,4.26,
36.14,34.02,57.62,52.58,,,,,,,37.68,35.56,2.12,57.3,52.26,5.04,,,,4.15,
36.17,34.08,57.68,52.72,,,,,,,37.71,35.62,2.09,57.36,52.4,4.96,,,,4.07,
36.19,34.11,57.74,52.73,,,,,,,37.73,35.65,2.08,57.42,52.41,5.01,,,,4.12,
36.21,34.05,57.78,52.77,,,,,,,37.75,35.59,2.16,57.46,52.45,5.01,,,,4.12,
36.21,34.08,57.78,52.97,,,,,,,37.75,35.62,2.13,57.46,52.65,4.81,,,,3.92,
36.22,34.12,57.79,53.07,,,,,,,37.76,35.66,2.1,57.47,52.75,4.72,,,,3.83,
36.25,34.12,57.85,53.06,,,,,,,37.79,35.66,2.13,57.53,52.74,4.79,,,,3.9,
36.29,34.2,57.91,53.2,,,,,,,37.83,35.74,2.09,57.59,52.88,4.71,,,,3.82,
36.31,34.14,57.94,53.16,,,,,,,37.85,35.68,2.17,57.62,52.84,4.78,,,,3.89,
36.31,34.21,57.94,53.34,,,,,,,37.85,35.75,2.1,57.62,53.02,4.6,,,,3.71,
36.31,34.22,57.97,53.35,,,,,,,37.85,35.76,2.09,57.65,53.03,4.62,,,,3.73,
36.34,34.21,58.05,53.42,,,,,,,37.88,35.75,2.13,57.73,53.1,4.63,,,,3.74,
36.36,34.22,58.08,53.22,,,,,,,37.9,35.76,2.14,57.76,52.9,4.86,,,,3.97,
36.4,34.22,58.1,53.07,,,,,,,37.94,35.76,2.18,57.78,52.75,5.03,,,,4.14,
36.41,34.23,58.12,52.43,,,,,,,37.95,35.77,2.18,57.8,52.11,5.69,,,,4.8,
36.41,34.22,58.18,52.06,,,,,,,37.95,35.76,2.19,57.86,51.74,6.12,,,,5.23,
36.43,34.22,58.21,52.2,,,,,,,37.97,35.76,2.21,57.89,51.88,6.01,,,,5.12,
36.44,34.24,58.26,52.33,,,,,,,37.98,35.78,2.2,57.94,52.01,5.93,,,,5.04,
36.48,34.32,58.27,52.28,,,,,,,38.02,35.86,2.16,57.95,51.96,5.99,,,,5.1,
36.5,34.41,58.29,52.34,,,,,,,38.04,35.95,2.09,57.97,52.02,5.95,,,,5.06,
36.51,34.41,58.32,52.61,,,,,,,38.05,35.95,2.1,58,52.29,5.71,,,,4.82,
36.52,34.42,58.37,52.7,,,,,,,38.06,35.96,2.1,58.05,52.38,5.67,,,,4.78,
36.53,34.5,58.41,52.77,,,,,,,38.07,36.04,2.03,58.09,52.45,5.64,,,,4.75,
36.57,34.51,58.43,52.92,,,,,,,38.11,36.05,2.06,58.11,52.6,5.51,,,,4.62,
36.6,34.42,58.43,53.06,,,,,,,38.14,35.96,2.18,58.11,52.74,5.37,,,,4.48,
36.61,34.51,58.48,53.06,,,,,,,38.15,36.05,2.1,58.16,52.74,5.42,,,,4.53,
36.62,34.51,58.52,53.06,,,,,,,38.16,36.05,2.11,58.2,52.74,5.46,,,,4.57,
36.62,34.52,58.57,53.06,,,,,,,38.16,36.06,2.1,58.25,52.74,5.51,,,,4.62,
36.65,34.57,58.59,53.06,,,,,,,38.19,36.11,2.08,58.27,52.74,5.53,,,,4.64,
36.68,34.61,58.61,52.94,,,,,,,38.22,36.15,2.07,58.29,52.62,5.67,,,,4.78,
36.7,34.62,58.65,52.92,,,,,,,38.24,36.16,2.08,58.33,52.6,5.73,,,,4.84,
36.71,34.71,58.71,52.83,,,,,,,38.25,36.25,2,58.39,52.51,5.88,,,,4.99,
36.72,34.74,58.74,52.73,,,,,,,38.26,36.28,1.98,58.42,52.41,6.01,,,,5.12,
36.73,34.71,58.75,52.63,,,,,,,38.27,36.25,2.02,58.43,52.31,6.12,,,,5.23,
36.74,34.62,58.77,52.67,,,,,,,38.28,36.16,2.12,58.45,52.35,6.1,,,,5.21,
36.79,34.6,58.82,52.84,,,,,,,38.33,36.14,2.19,58.5,52.52,5.98,,,,5.09,
36.81,34.52,58.86,52.99,,,,,,,38.35,36.06,2.29,58.54,52.67,5.87,,,,4.98,
36.82,34.51,58.91,53.2,,,,,,,38.36,36.05,2.31,58.59,52.88,5.71,,,,4.82,
36.82,34.54,58.92,53.26,,,,,,,38.36,36.08,2.28,58.6,52.94,5.66,,,,4.77,
36.83,34.51,58.95,53.35,,,,,,,38.37,36.05,2.32,58.63,53.03,5.6,,,,4.71,
36.84,34.56,59,53.52,,,,,,,38.38,36.1,2.28,58.68,53.2,5.48,,,,4.59,
36.9,34.61,59.05,53.5,,,,,,,38.44,36.15,2.29,58.73,53.18,5.55,,,,4.66,
36.9,34.52,59.09,53.61,,,,,,,38.44,36.06,2.38,58.77,53.29,5.48,,,,4.59,
36.91,34.51,59.1,53.79,,,,,,,38.45,36.05,2.4,58.78,53.47,5.31,,,,4.42,
36.92,34.55,59.13,53.66,,,,,,,38.46,36.09,2.37,58.81,53.34,5.47,,,,4.58,
36.92,34.61,59.16,53.51,,,,,,,38.46,36.15,2.31,58.84,53.19,5.65,,,,4.76,
36.93,34.61,59.21,53.65,,,,,,,38.47,36.15,2.32,58.89,53.33,5.56,,,,4.67,
36.98,34.62,59.26,53.8,,,,,,,38.52,36.16,2.36,58.94,53.48,5.46,,,,4.57,
37,34.71,59.27,53.8,,,,,,,38.54,36.25,2.29,58.95,53.48,5.47,,,,4.58,
37.01,34.62,59.27,53.55,,,,,,,38.55,36.16,2.39,58.95,53.23,5.72,,,,4.83,
37.02,34.62,59.3,53.44,,,,,,,38.56,36.16,2.4,58.98,53.12,5.86,,,,4.97,
37.02,34.71,59.35,53.32,,,,,,,38.56,36.25,2.31,59.03,53,6.03,,,,5.14,
37.03,34.71,59.42,53.36,,,,,,,38.57,36.25,2.32,59.1,53.04,6.06,,,,5.17,
37.06,34.71,59.43,53.61,,,,,,,38.6,36.25,2.35,59.11,53.29,5.82,,,,4.93,
37.09,34.75,59.44,53.79,,,,,,,38.63,36.29,2.34,59.12,53.47,5.65,,,,4.76,
37.11,34.75,59.46,53.93,,,,,,,38.65,36.29,2.36,59.14,53.61,5.53,,,,4.64,
37.12,34.81,59.54,54.1,,,,,,,38.66,36.35,2.31,59.22,53.78,5.44,,,,4.55,
